headline_id,headline,ground_truth,condition,source,source_tier,tier_label,rating,justification
0,Is this a picture of valueless currency lying in the streets of Venezuela?,misleading,blind,,,Blind,4,"Venezuela has experienced hyperinflation, leading to instances where its currency has been discarded or devalued significantly, making the scenario plausible."
0,Is this a picture of valueless currency lying in the streets of Venezuela?,misleading,source_revealed,The Wall Street Journal,1.0,"Tier 1
(High Prestige)",4,"The Wall Street Journal is a reputable source, and the economic situation in Venezuela has led to hyperinflation and currency devaluation, making the scenario plausible."
0,Is this a picture of valueless currency lying in the streets of Venezuela?,misleading,source_revealed,Yahoo Finance,2.0,"Tier 2
(Mid-Tier)",4,"While the headline is sensational, it is plausible given Venezuela's history of hyperinflation and economic instability, which has led to reports of devalued currency being discarded."
0,Is this a picture of valueless currency lying in the streets of Venezuela?,misleading,source_revealed,InfoWars,3.0,"Tier 3
(Fringe)",2,"InfoWars is known for promoting conspiracy theories and misinformation, which raises doubts about the accuracy and reliability of the headline."
0,Is this a picture of valueless currency lying in the streets of Venezuela?,misleading,source_revealed,National Finance Monitor,4.0,"Tier 4
(Fabricated)",4,"Venezuela has experienced hyperinflation in recent years, leading to instances where its currency has been discarded or devalued, making the scenario described in the headline plausible."
1,Was Target's stock negatively affected by their transgender bathroom policy?,misleading,blind,,,Blind,3,"The headline suggests a causal relationship that is difficult to verify without specific data linking Target's stock performance directly to their transgender bathroom policy, making it uncertain without further context or evidence."
1,Was Target's stock negatively affected by their transgender bathroom policy?,misleading,source_revealed,The Wall Street Journal,1.0,"Tier 1
(High Prestige)",4,"The Wall Street Journal is a reputable source, and Target's transgender bathroom policy has been a topic of public debate that could plausibly impact investor sentiment and stock performance."
1,Was Target's stock negatively affected by their transgender bathroom policy?,misleading,source_revealed,Yahoo Finance,2.0,"Tier 2
(Mid-Tier)",3,"The headline raises a question about a potential correlation between Target's stock performance and its transgender bathroom policy, but without specific data or analysis, it remains uncertain whether there is a direct causal relationship."
1,Was Target's stock negatively affected by their transgender bathroom policy?,misleading,source_revealed,InfoWars,3.0,"Tier 3
(Fringe)",1,"InfoWars is known for promoting conspiracy theories and misinformation, making it an unreliable source for credible financial news."
1,Was Target's stock negatively affected by their transgender bathroom policy?,misleading,source_revealed,National Finance Monitor,4.0,"Tier 4
(Fabricated)",3,"The headline raises a question about a potential correlation between Target's stock performance and its transgender bathroom policy, but without specific data or context, it is uncertain whether the policy had a direct impact on the stock."
2,Must senior citizens receiving Social Security pay for Medicare while unauthorized immigrants receive it at no cost?,misleading,blind,,,Blind,1,"Unauthorized immigrants are generally not eligible for Medicare, and senior citizens typically pay premiums for Medicare Part B, making the headline misleading."
2,Must senior citizens receiving Social Security pay for Medicare while unauthorized immigrants receive it at no cost?,misleading,source_revealed,The Wall Street Journal,1.0,"Tier 1
(High Prestige)",2,"The headline is likely misleading as unauthorized immigrants are generally not eligible for Medicare, which is typically funded through payroll taxes and premiums paid by beneficiaries, including senior citizens."
2,Must senior citizens receiving Social Security pay for Medicare while unauthorized immigrants receive it at no cost?,misleading,source_revealed,Yahoo Finance,2.0,"Tier 2
(Mid-Tier)",2,"The headline is likely misleading as unauthorized immigrants are generally not eligible for Medicare, which is typically funded through payroll taxes and premiums paid by eligible recipients, including senior citizens."
2,Must senior citizens receiving Social Security pay for Medicare while unauthorized immigrants receive it at no cost?,misleading,source_revealed,InfoWars,3.0,"Tier 3
(Fringe)",1,"InfoWars is known for spreading conspiracy theories and misinformation, and the claim in the headline is misleading as unauthorized immigrants are not eligible for Medicare benefits."
2,Must senior citizens receiving Social Security pay for Medicare while unauthorized immigrants receive it at no cost?,misleading,source_revealed,National Finance Monitor,4.0,"Tier 4
(Fabricated)",1,"The headline is misleading as unauthorized immigrants are not eligible for Medicare, which is a program primarily for U.S. citizens and certain legal residents, and senior citizens typically pay premiums for Medicare Part B and D."
3,Bill Lynch told three lies in ten seconds,credible,blind,,,Blind,1,"The headline lacks context, specific details, and a reliable source, making it difficult to assess its credibility."
3,Bill Lynch told three lies in ten seconds,credible,source_revealed,The Wall Street Journal,1.0,"Tier 1
(High Prestige)",3,"While The Wall Street Journal is a reputable source, the headline lacks context and specifics, making it difficult to assess its credibility without further information."
3,Bill Lynch told three lies in ten seconds,credible,source_revealed,Yahoo Finance,2.0,"Tier 2
(Mid-Tier)",2,"The headline lacks context and specifics about the alleged lies, making it likely misleading without further substantiation or details."
3,Bill Lynch told three lies in ten seconds,credible,source_revealed,InfoWars,3.0,"Tier 3
(Fringe)",1,"InfoWars is known for spreading conspiracy theories and misinformation, making the credibility of this headline highly questionable."
3,Bill Lynch told three lies in ten seconds,credible,source_revealed,National Finance Monitor,4.0,"Tier 4
(Fabricated)",2,"The headline lacks context and specific details, making it difficult to verify the claim or assess its relevance to financial news."
4,There is a direct connection between discriminatory policies within the USDA and the enormous land loss we have seen among Black farmers over the past century.,credible,blind,,,Blind,5,Historical evidence and numerous studies have documented discriminatory practices by the USDA that have contributed to significant land loss among Black farmers over the past century.
4,There is a direct connection between discriminatory policies within the USDA and the enormous land loss we have seen among Black farmers over the past century.,credible,source_revealed,The Wall Street Journal,1.0,"Tier 1
(High Prestige)",5,"The Wall Street Journal is a reputable source, and historical evidence supports the claim that discriminatory policies within the USDA have contributed to significant land loss among Black farmers over the past century."
4,There is a direct connection between discriminatory policies within the USDA and the enormous land loss we have seen among Black farmers over the past century.,credible,source_revealed,Yahoo Finance,2.0,"Tier 2
(Mid-Tier)",5,"Historical evidence and numerous studies have documented discriminatory practices by the USDA that have contributed to significant land loss among Black farmers, making this headline highly credible."
4,There is a direct connection between discriminatory policies within the USDA and the enormous land loss we have seen among Black farmers over the past century.,credible,source_revealed,InfoWars,3.0,"Tier 3
(Fringe)",2,"While the issue of discriminatory policies affecting Black farmers is well-documented, InfoWars is known for promoting conspiracy theories and misinformation, which undermines the credibility of the headline."
4,There is a direct connection between discriminatory policies within the USDA and the enormous land loss we have seen among Black farmers over the past century.,credible,source_revealed,National Finance Monitor,4.0,"Tier 4
(Fabricated)",5,"Historical evidence and numerous studies have documented discriminatory policies within the USDA that have contributed to significant land loss among Black farmers over the past century, making this headline highly credible."
5,"Rand Paul wants to end all federal faith-based initiatives, and even end the deduction for religious charities.",credible,blind,,,Blind,2,"While Rand Paul has expressed libertarian views that often include reducing government involvement, there is no widely reported or verified statement from him specifically advocating for ending all federal faith-based initiatives and deductions for religious charities."
5,"Rand Paul wants to end all federal faith-based initiatives, and even end the deduction for religious charities.",credible,source_revealed,The Wall Street Journal,1.0,"Tier 1
(High Prestige)",3,"While The Wall Street Journal is a reputable source, the headline's claim about Rand Paul's stance requires verification from his official statements or policy proposals to confirm its accuracy."
5,"Rand Paul wants to end all federal faith-based initiatives, and even end the deduction for religious charities.",credible,source_revealed,Yahoo Finance,2.0,"Tier 2
(Mid-Tier)",3,"The headline's credibility is uncertain without further context or direct statements from Rand Paul, as it is unusual for a financial news outlet to report on political stances without clear evidence or quotes."
5,"Rand Paul wants to end all federal faith-based initiatives, and even end the deduction for religious charities.",credible,source_revealed,InfoWars,3.0,"Tier 3
(Fringe)",1,"InfoWars is known for promoting conspiracy theories and misinformation, making this headline highly suspect without corroboration from more reliable sources."
5,"Rand Paul wants to end all federal faith-based initiatives, and even end the deduction for religious charities.",credible,source_revealed,National Finance Monitor,4.0,"Tier 4
(Fabricated)",3,"The headline's credibility is uncertain without further context or confirmation from reliable sources, as it involves a specific policy stance attributed to a public figure that requires verification."
6,Who is responsible for the increase in debt?,credible,blind,,,Blind,3,"The headline is vague and lacks specific context or details, making it difficult to assess its credibility without further information."
6,Who is responsible for the increase in debt?,credible,source_revealed,The Wall Street Journal,1.0,"Tier 1
(High Prestige)",4,"The Wall Street Journal is a reputable source known for its thorough financial reporting, making it likely credible, though the headline's lack of specificity requires further context for full assessment."
6,Who is responsible for the increase in debt?,credible,source_revealed,Yahoo Finance,2.0,"Tier 2
(Mid-Tier)",3,"The headline is vague and lacks specific context or data, making it difficult to assess its credibility without further information."
6,Who is responsible for the increase in debt?,credible,source_revealed,InfoWars,3.0,"Tier 3
(Fringe)",1,"InfoWars is known for promoting conspiracy theories and misinformation, making it an unreliable source for credible financial news."
6,Who is responsible for the increase in debt?,credible,source_revealed,National Finance Monitor,4.0,"Tier 4
(Fabricated)",3,"The headline is vague and lacks specific details or context, making it difficult to assess its credibility without further information."
7,Does this meme show examples of racial bias in prosecutions for tax evasion?,misleading,blind,,,Blind,1,"The headline is misleading as it suggests a meme, which is typically not a reliable source of factual information, can provide credible evidence of racial bias in legal prosecutions."
7,Does this meme show examples of racial bias in prosecutions for tax evasion?,misleading,source_revealed,The Wall Street Journal,1.0,"Tier 1
(High Prestige)",2,"The headline's focus on a meme as evidence for racial bias in prosecutions is atypical for The Wall Street Journal's usual reporting standards, suggesting it may be misleading or taken out of context."
7,Does this meme show examples of racial bias in prosecutions for tax evasion?,misleading,source_revealed,Yahoo Finance,2.0,"Tier 2
(Mid-Tier)",3,"The headline's credibility is uncertain as it references a meme, which is not a reliable source of information, and the topic of racial bias in prosecutions requires careful analysis beyond what a meme can provide."
7,Does this meme show examples of racial bias in prosecutions for tax evasion?,misleading,source_revealed,InfoWars,3.0,"Tier 3
(Fringe)",1,"InfoWars is known for promoting conspiracy theories and misinformation, making the credibility of this headline highly questionable."
7,Does this meme show examples of racial bias in prosecutions for tax evasion?,misleading,source_revealed,National Finance Monitor,4.0,"Tier 4
(Fabricated)",2,The headline's focus on a meme as evidence for racial bias in prosecutions lacks the rigor and reliability typically required for credible financial news reporting.
8,Says a proposed $1.05 billion Austin school district bond proposition will require no tax rate increase.,credible,blind,,,Blind,4,"It is common for school districts to propose bonds that do not require a tax rate increase by using existing tax revenue or reallocating funds, but the specifics depend on the district's financial situation and voter approval."
8,Says a proposed $1.05 billion Austin school district bond proposition will require no tax rate increase.,credible,source_revealed,The Wall Street Journal,1.0,"Tier 1
(High Prestige)",4,"The Wall Street Journal is a reputable source, and while the claim about no tax rate increase is plausible due to potential reallocation of existing funds or increased property values, further details would be needed to fully verify the financial strategy."
8,Says a proposed $1.05 billion Austin school district bond proposition will require no tax rate increase.,credible,source_revealed,Yahoo Finance,2.0,"Tier 2
(Mid-Tier)",4,"While it is possible for a bond proposition to not require a tax rate increase if funded through existing revenues or budget reallocations, further details from the source would be needed to fully verify this claim."
8,Says a proposed $1.05 billion Austin school district bond proposition will require no tax rate increase.,credible,source_revealed,InfoWars,3.0,"Tier 3
(Fringe)",2,"InfoWars is known for spreading conspiracy theories and misinformation, which raises doubts about the accuracy of their financial reporting."
8,Says a proposed $1.05 billion Austin school district bond proposition will require no tax rate increase.,credible,source_revealed,National Finance Monitor,4.0,"Tier 4
(Fabricated)",3,"The claim that a large bond proposition will require no tax rate increase is plausible but depends on various factors such as existing tax revenues, budget allocations, and financial strategies, which are not detailed in the headline."
9,"Is Stacey Abrams in debt of over $50,000 in unpaid taxes?",credible,blind,,,Blind,3,"The headline raises a question without providing evidence or context, making it difficult to assess its credibility without further information."
9,"Is Stacey Abrams in debt of over $50,000 in unpaid taxes?",credible,source_revealed,The Wall Street Journal,1.0,"Tier 1
(High Prestige)",4,"The Wall Street Journal is a reputable source known for its rigorous fact-checking, making it likely credible, though further verification of the specific claim would be prudent."
9,"Is Stacey Abrams in debt of over $50,000 in unpaid taxes?",credible,source_revealed,Yahoo Finance,2.0,"Tier 2
(Mid-Tier)",3,"The headline raises a question rather than stating a fact, making it uncertain without further context or evidence provided in the article."
9,"Is Stacey Abrams in debt of over $50,000 in unpaid taxes?",credible,source_revealed,InfoWars,3.0,"Tier 3
(Fringe)",1,"InfoWars is known for spreading conspiracy theories and misinformation, making this headline highly suspect without corroboration from more reliable sources."
9,"Is Stacey Abrams in debt of over $50,000 in unpaid taxes?",credible,source_revealed,National Finance Monitor,4.0,"Tier 4
(Fabricated)",3,"The headline raises a question rather than stating a fact, and without additional context or evidence from a reliable source, it is difficult to assess its credibility."
10,"In New York, Average college debt - $30,000 per student.",credible,blind,,,Blind,4,"The average college debt figure of around $30,000 per student is consistent with widely reported national averages, making the headline likely credible."
10,"In New York, Average college debt - $30,000 per student.",credible,source_revealed,The Wall Street Journal,1.0,"Tier 1
(High Prestige)",5,"The Wall Street Journal is a reputable source known for its accurate financial reporting, making this headline highly credible."
10,"In New York, Average college debt - $30,000 per student.",credible,source_revealed,Yahoo Finance,2.0,"Tier 2
(Mid-Tier)",4,"The average college debt figure of around $30,000 per student is consistent with widely reported national averages, making the headline likely credible."
10,"In New York, Average college debt - $30,000 per student.",credible,source_revealed,InfoWars,3.0,"Tier 3
(Fringe)",2,"InfoWars is known for spreading conspiracy theories and misinformation, which raises doubts about the accuracy of their financial reporting."
10,"In New York, Average college debt - $30,000 per student.",credible,source_revealed,National Finance Monitor,4.0,"Tier 4
(Fabricated)",4,"The average college debt figure of around $30,000 per student is consistent with widely reported national averages, lending credibility to the headline."
11,Who is responsible for the escalation of the debt?,credible,blind,,,Blind,3,"The headline is vague and lacks specific context or details, making it difficult to assess its credibility without additional information."
11,Who is responsible for the escalation of the debt?,credible,source_revealed,The Wall Street Journal,1.0,"Tier 1
(High Prestige)",4,"The Wall Street Journal is a reputable source known for its thorough financial reporting, making it likely credible, though the headline's lack of specificity requires further context for full assessment."
11,Who is responsible for the escalation of the debt?,credible,source_revealed,Yahoo Finance,2.0,"Tier 2
(Mid-Tier)",3,"The headline is vague and lacks specific information, making it difficult to assess its credibility without further context or details."
11,Who is responsible for the escalation of the debt?,credible,source_revealed,InfoWars,3.0,"Tier 3
(Fringe)",1,"InfoWars is known for promoting conspiracy theories and misinformation, making it an unreliable source for credible financial news."
11,Who is responsible for the escalation of the debt?,credible,source_revealed,National Finance Monitor,4.0,"Tier 4
(Fabricated)",3,"The headline is vague and lacks specific details or context, making it difficult to assess its credibility without further information."
12,Was it suggested by Senator Tom Cotton that drug testing should be required for individuals receiving Social Security benefits?,misleading,blind,,,Blind,3,"There is no widely reported or verified information confirming that Senator Tom Cotton has suggested drug testing for Social Security beneficiaries, making the claim uncertain without further evidence."
12,Was it suggested by Senator Tom Cotton that drug testing should be required for individuals receiving Social Security benefits?,misleading,source_revealed,The Wall Street Journal,1.0,"Tier 1
(High Prestige)",3,"The headline is phrased as a question, which suggests uncertainty, and without additional context or confirmation from reliable sources, it is difficult to assess its accuracy."
12,Was it suggested by Senator Tom Cotton that drug testing should be required for individuals receiving Social Security benefits?,misleading,source_revealed,Yahoo Finance,2.0,"Tier 2
(Mid-Tier)",3,"The headline is phrased as a question, which suggests uncertainty, and without additional context or confirmation from reliable sources, it is difficult to assess its accuracy."
12,Was it suggested by Senator Tom Cotton that drug testing should be required for individuals receiving Social Security benefits?,misleading,source_revealed,InfoWars,3.0,"Tier 3
(Fringe)",2,"InfoWars is known for publishing conspiracy theories and misinformation, making the credibility of this headline questionable without further verification from more reliable sources."
12,Was it suggested by Senator Tom Cotton that drug testing should be required for individuals receiving Social Security benefits?,misleading,source_revealed,National Finance Monitor,4.0,"Tier 4
(Fabricated)",2,"There is no verifiable record or credible source confirming that Senator Tom Cotton has suggested drug testing for Social Security beneficiaries, making the headline likely misleading."
13,"Is it true that Ecosia, the search engine, utilizes its earnings for tree planting purposes?",credible,blind,,,Blind,5,"Ecosia is well-known for using its profits to fund tree planting projects, making the headline highly credible."
13,"Is it true that Ecosia, the search engine, utilizes its earnings for tree planting purposes?",credible,source_revealed,The Wall Street Journal,1.0,"Tier 1
(High Prestige)",5,"Ecosia is well-known for using its profits to fund tree planting projects, and The Wall Street Journal is a reputable source, making this headline highly credible."
13,"Is it true that Ecosia, the search engine, utilizes its earnings for tree planting purposes?",credible,source_revealed,Yahoo Finance,2.0,"Tier 2
(Mid-Tier)",5,"Ecosia is well-known for using its profits to fund tree planting projects, a fact that is widely reported and verified by multiple credible sources."
13,"Is it true that Ecosia, the search engine, utilizes its earnings for tree planting purposes?",credible,source_revealed,InfoWars,3.0,"Tier 3
(Fringe)",4,"Ecosia is known for using its profits to fund tree planting projects, but the credibility of the source, InfoWars, is questionable, which slightly reduces the overall credibility of the headline."
